Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Evan Neal,OT,Alabama
2,Detroit Lions,Aidan Hutchinson,DE,Michigan
3,Houston Texans,Kayvon Thibodeaux,Edge,Oregon
4,New York Jets,Ickey Ekwonu,OT,N.C. State
5,New York Giants,Charles Cross,OT,Mississippi State
6,Carolina Panthers,Kenny Pickett,QB,Pittsburgh
7,New York Giants (via Bears),David Ojabo,Edge,Michigan
8,Atlanta Falcons,Sauce Gardner,CB,Cincinnati
9,Denver Broncos,Devin Lloyd,LB,Utah
10,New York Jets (via Seahawks),Garrett Wilson,WR,Ohio State
11,Washington Commanders,Derek Stingley Jr.,CB,LSU
12,Minnesota Vikings,George Karlaftis,Edge,Purdue
13,Cleveland Browns,Drake London,WR,USC
14,Baltimore Ravens,Tyler Linderbaum,C,Iowa
15,Philadelphia Eagles (via Dolphins),Kyle Hamilton,S,Notre Dame
16,Philadelphia Eagles (via Colts),Chris Olave,WR,Ohio State
17,Los Angeles Chargers,Trevor Penning,OT,Northern Iowa
18,New Orleans Saints,Matt Corral,QB,Mississippi
19,Philadelphia Eagles,Jermaine Johnson II,Edge,Florida State
20,Pittsburgh Steelers,Malik Willis,QB,Liberty
21,New England Patriots,Andrew Booth,CB,Clemson
22,Las Vegas Raiders,Jordan Davis,DT,Georgia
23,Arizona Cardinals,Trent McDuffie,CB,Washington
24,Dallas Cowboys,Kenyon Green,OG,Texas A&M
25,Buffalo Bills,Jameson Williams,WR,Alabama
26,Tennessee Titans,Jahan Dotson,WR,Penn State
27,Tampa Bay Buccaneers,Roger McCreary,CB,Auburn
28,Green Bay Packers,Devonte Wyatt,DT,Georgia
29,Miami Dolphins (via 49ers),Nakobe Dean,LB,Georgia
30,Kansas City Chiefs,Dax Hill,S,Michigan
31,Cincinnati Bengals,Bernhard Raimann,OT,Central Michigan
32,Detroit Lions (via Rams),Travon Walker,DL,Georgia